rank,name,sector,tier,status,revenueUSD,valuationOrMarketCapUSD,fundingRaisedUSD,employees,hqCountry,hqCity,founded,website,dataSource,asOfDate
1,"NVIDIA","AI Hardware",fortune500,Public,130000000000,3800000000000,,29600,"United States","Santa Clara",1993,https://www.nvidia.com,"verified: companiesmarketcap.com / Yahoo Finance, market cap",2026-07-01
2,"Microsoft","AI Infrastructure",fortune500,Public,245000000000,3700000000000,,228000,"United States","Redmond",1975,https://www.microsoft.com,"verified: Yahoo Finance / stockanalysis.com, market cap",2026-07-01
3,"Apple","AI Hardware",fortune500,Public,383000000000,3400000000000,,164000,"United States","Cupertino",1976,https://www.apple.com,"verified: Yahoo Finance, market cap",2026-07-01
4,"Alphabet","Foundation Models",fortune500,Public,307000000000,2300000000000,,182502,"United States","Mountain View",1998,https://abc.xyz,"verified: Yahoo Finance, market cap",2026-07-01
5,"Amazon","AI Infrastructure",fortune500,Public,575000000000,2100000000000,,1525000,"United States","Seattle",1994,https://www.amazon.com,"verified: Yahoo Finance, market cap",2026-07-01
6,"TSMC","AI Hardware",fortune500,Public,75000000000,1800000000000,,76478,"Taiwan","Hsinchu",1987,https://www.tsmc.com,"verified: companiesmarketcap.com / Statista, market cap",2026-07-01
7,"Broadcom","AI Hardware",fortune500,Public,35000000000,1600000000000,,39000,"United States","Palo Alto",1991,https://www.broadcom.com,"verified: companiesmarketcap.com, market cap",2026-07-01
8,"Meta","Foundation Models",fortune500,Public,134000000000,1500000000000,,74067,"United States","Menlo Park",2004,https://www.meta.com,"verified: Yahoo Finance, market cap",2026-07-01
9,"Tesla","Autonomous Systems & Robotics",fortune500,Public,96000000000,1100000000000,,140473,"United States","Austin",2003,https://www.tesla.com,"verified: Yahoo Finance, market cap",2026-07-01
10,"OpenAI","Foundation Models",ai-frontier,Private,4000000000,852000000000,200000000000,3000,"United States","San Francisco",2015,https://openai.com,"verified: Bloomberg / CNBC / Crunchbase, $122B round at $852B post-money (Mar 2026)",2026-03-31
11,"Oracle","AI Infrastructure",fortune500,Public,53000000000,560000000000,,159000,"United States","Austin",1977,https://www.oracle.com,"verified: Yahoo Finance, market cap",2026-07-01
12,"ASML","AI Hardware",public-large,Public,28000000000,510000000000,,42800,"Netherlands","Veldhoven",1984,https://www.asml.com,"verified: companiesmarketcap.com, market cap",2026-07-01
13,"Samsung Electronics","AI Hardware",fortune500,Public,200000000000,380000000000,,267800,"South Korea","Suwon",1938,https://www.samsung.com,"verified: Yahoo Finance, market cap",2026-07-01
14,"AMD","AI Hardware",fortune500,Public,23000000000,378000000000,,26000,"United States","Santa Clara",1969,https://www.amd.com,"verified: Yahoo Finance, market cap",2026-07-01
15,"ARM Holdings","AI Hardware",public-large,Public,3200000000,337000000000,,7300,"United Kingdom","Cambridge",1990,https://www.arm.com,"verified: Macrotrends, market cap",2026-07-01
16,"Salesforce","Enterprise AI",fortune500,Public,34000000000,290000000000,,72847,"United States","San Francisco",1999,https://www.salesforce.com,"verified: Yahoo Finance, market cap",2026-07-01
17,"Palantir Technologies","Enterprise AI",public-large,Public,2500000000,280000000000,,4000,"United States","Denver",2003,https://www.palantir.com,"verified: Yahoo Finance, market cap",2026-07-01
18,"IBM","Enterprise AI",fortune500,Public,61000000000,245000000000,,282200,"United States","Armonk",1911,https://www.ibm.com,"verified: Yahoo Finance, market cap",2026-07-01
19,"Cisco Systems","AI Infrastructure",fortune500,Public,57000000000,240000000000,,84900,"United States","San Jose",1984,https://www.cisco.com,"verified: Yahoo Finance, market cap",2026-07-01
20,"ServiceNow","Enterprise AI",public-large,Public,8000000000,220000000000,,23700,"United States","Santa Clara",2003,https://www.servicenow.com,"verified: Yahoo Finance, market cap",2026-07-01
21,"SAP","Enterprise AI",fortune500,Public,33000000000,210000000000,,110000,"Germany","Walldorf",1972,https://www.sap.com,"verified: Yahoo Finance, market cap",2026-07-01
22,"Adobe","Media & Creativity",fortune500,Public,19000000000,195000000000,,30000,"United States","San Jose",1982,https://www.adobe.com,"verified: Yahoo Finance, market cap",2026-07-01
23,"Intel","AI Hardware",fortune500,Public,54000000000,190000000000,,124800,"United States","Santa Clara",1968,https://www.intel.com,"verified: Yahoo Finance, market cap",2026-07-01
24,"Intuit","Enterprise AI",fortune500,Public,14000000000,190000000000,,18700,"United States","Mountain View",1983,https://www.intuit.com,"verified: Yahoo Finance, market cap",2026-07-01
25,"Qualcomm","AI Hardware",fortune500,Public,39000000000,180000000000,,51000,"United States","San Diego",1985,https://www.qualcomm.com,"verified: Yahoo Finance, market cap",2026-07-01
26,"Applied Materials","AI Hardware",fortune500,Public,26000000000,170000000000,,35000,"United States","Santa Clara",1967,https://www.appliedmaterials.com,"verified: Yahoo Finance, market cap",2026-07-01
27,"Siemens","Enterprise AI",fortune500,Public,80000000000,140000000000,,416000,"Germany","Munich",1847,https://www.siemens.com,"verified: Yahoo Finance, market cap",2026-07-01
28,"Micron Technology","AI Hardware",fortune500,Public,25000000000,130000000000,,48000,"United States","Boise",1978,https://www.micron.com,"verified: Yahoo Finance, market cap",2026-07-01
29,"Palo Alto Networks","Cybersecurity",public-large,Public,8000000000,120000000000,,15000,"United States","Santa Clara",2005,https://www.paloaltonetworks.com,"verified: Yahoo Finance, market cap",2026-07-01
30,"Shopify","Enterprise AI",fortune500,Public,7000000000,120000000000,,12000,"Canada","Ottawa",2006,https://www.shopify.com,"verified: Yahoo Finance, market cap",2026-07-01
31,"SK Hynix","AI Hardware",fortune500,Public,32000000000,120000000000,,32000,"South Korea","Icheon",1983,https://www.skhynix.com,"verified: Yahoo Finance, market cap",2026-07-01
32,"Stripe","Enterprise AI",big-tech,Private,18000000000,120000000000,,8000,"United States","San Francisco",2010,https://stripe.com,"verified: Forbes AI 50, 2024",2024-03
33,"Lam Research","AI Hardware",public-large,Public,17000000000,110000000000,,17000,"United States","Fremont",1980,https://www.lamresearch.com,"verified: Yahoo Finance, market cap",2026-07-01
34,"KLA Corporation","AI Hardware",public-large,Public,10000000000,100000000000,,15000,"United States","Milpitas",1975,https://www.kla.com,"verified: Yahoo Finance, market cap",2026-07-01
35,"CrowdStrike","Cybersecurity",public-large,Public,3000000000,90000000000,,8800,"United States","Austin",2011,https://www.crowdstrike.com,"verified: Yahoo Finance, market cap",2026-07-01
36,"Cadence Design Systems","AI Hardware",public-large,Public,4000000000,88000000000,,10500,"United States","San Jose",1988,https://www.cadence.com,"verified: Yahoo Finance, market cap",2026-07-01
